pref,muni,code,did_pop,did_pop_pct,urban,urban_naisui,records,years,first_year,last_year,area_takuchi_km2,area_km2,yukaue,yukashita,buildings,buildings_台風,buildings_梅雨前線,buildings_豪雨・その他,buildings_その他,kubochi_records,has_a51,hires_dem_pref
岡山県,岡山市中区,33102,126993,85.1,True,True,106,4,2010,2018,0.597,0.613,59.0,827.0,886.0,878.0,6.0,2.0,0.0,0,False,False
富山県,高岡市,16202,83714,50.4,True,True,145,6,2011,2023,1.448,1.691,274.0,606.0,880.0,0.0,1.0,879.0,0.0,0,False,False
埼玉県,川越市,11201,287009,80.9,True,True,35,6,2011,2022,0.271,0.286,326.0,550.0,876.0,862.0,0.0,14.0,0.0,1,True,False
埼玉県,川口市,11203,583102,98.1,True,True,198,8,2010,2023,0.115,0.115,270.0,574.0,844.0,205.0,2.0,637.0,0.0,2,False,False
愛知県,名古屋市北区,23103,162956,100.0,True,True,28,4,2011,2021,4.26,4.26,23.0,787.0,810.0,78.0,5.0,727.0,0.0,0,False,False
高知県,高知市,39201,266025,81.4,True,True,97,3,2010,2015,1.977,1.977,318.0,459.0,777.0,536.0,0.0,241.0,0.0,0,False,False
山口県,山口市,35203,98987,51.0,True,True,108,6,2010,2023,0.351,0.354,154.0,621.0,775.0,1.0,482.0,292.0,0.0,0,False,False
広島県,呉市,34202,142702,66.5,True,True,66,3,2010,2018,0.706,0.706,284.0,472.0,756.0,397.0,359.0,0.0,0.0,0,False,False
兵庫県,加古川市,28210,203937,78.2,True,True,160,7,2011,2018,1.391,1.447,161.0,563.0,724.0,700.0,24.0,0.0,0.0,1,False,True
宮崎県,宮崎市,45201,277345,69.1,True,True,144,9,2012,2022,2.239,8.292,194.0,526.0,720.0,712.0,0.0,8.0,0.0,101,False,False
宮城県,仙台市宮城野区,04102,186808,95.0,True,True,31,5,2010,2019,0.207,5.936,494.0,224.0,718.0,716.0,0.0,2.0,0.0,0,False,False
長野県,長野市,20201,272005,73.0,True,True,79,9,2010,2023,1.187,2.18,28.0,686.0,714.0,344.0,305.0,65.0,0.0,1,True,False
新潟県,見附市,15211,24852,63.3,True,True,38,5,2010,2017,11.808,12.928,94.0,602.0,696.0,0.0,409.0,287.0,0.0,0,False,False
埼玉県,ふじみ野市,11245,106463,93.7,True,True,30,4,2015,2019,0.212,0.212,301.0,356.0,657.0,657.0,0.0,0.0,0.0,8,False,False
岐阜県,多治見市,21204,53785,50.4,True,True,105,3,2010,2013,0.422,0.422,442.0,212.0,654.0,604.0,39.0,11.0,0.0,0,False,False
岐阜県,大垣市,21202,95817,60.5,True,True,103,6,2011,2022,0.995,1.55,15.0,633.0,648.0,175.0,0.0,473.0,0.0,1,False,False
富山県,富山市,16201,246850,59.6,True,True,135,11,2010,2023,0.324,0.324,50.0,579.0,629.0,14.0,4.0,611.0,0.0,1,True,False
大阪府,大東市,27218,117979,98.8,True,True,48,3,2012,2017,0.018,0.018,48.0,571.0,619.0,1.0,4.0,614.0,0.0,0,False,False
静岡県,伊豆の国市,22225,24875,53.1,True,True,27,2,2010,2019,0.892,2.939,303.0,308.0,611.0,610.0,0.0,1.0,0.0,26,False,True
千葉県,我孫子市,12222,112835,86.5,True,True,17,8,2010,2023,0.074,0.074,135.0,464.0,599.0,489.0,26.0,84.0,0.0,6,False,False
京都府,京都市伏見区,26109,263649,94.8,True,True,51,6,2010,2020,0.049,0.049,261.0,333.0,594.0,442.0,3.0,149.0,0.0,0,False,False
埼玉県,さいたま市岩槻区,11110,78368,70.1,True,True,84,7,2013,2023,0.33,0.33,156.0,388.0,544.0,543.0,0.0,1.0,0.0,0,False,False
埼玉県,幸手市,11240,25861,51.7,True,True,40,9,2011,2022,0.294,0.294,93.0,445.0,538.0,529.0,0.0,9.0,0.0,0,False,False
宮崎県,延岡市,45203,78838,66.6,True,True,174,7,2011,2022,5.708,20.342,265.0,268.0,533.0,454.0,0.0,79.0,0.0,1,False,False
神奈川県,川崎市高津区,14134,234328,100.0,True,True,12,7,2013,2020,0.056,0.056,323.0,209.0,532.0,528.0,1.0,3.0,0.0,0,False,True
静岡県,焼津市,22212,79375,58.0,True,True,121,7,2010,2022,7.344,10.555,308.0,221.0,529.0,506.0,3.0,20.0,0.0,0,False,True
大阪府,東大阪市,27227,492760,99.8,True,True,281,8,2010,2022,0.094,0.094,85.0,436.0,521.0,37.0,119.0,365.0,0.0,68,False,False
埼玉県,松伏町,11465,19492,69.0,True,True,4,3,2013,2023,0.551,0.555,139.0,369.0,508.0,507.0,0.0,1.0,0.0,0,False,False
神奈川県,川崎市中原区,14133,263683,100.0,True,True,7,3,2014,2019,0.065,0.065,373.0,133.0,506.0,505.0,0.0,1.0,0.0,0,False,True
京都府,京都市右京区,26108,191995,95.0,True,True,104,8,2010,2020,0.054,0.055,190.0,310.0,500.0,274.0,21.0,205.0,0.0,0,False,False
静岡県,函南町,22325,22887,62.2,True,True,3,2,2019,2021,0.48,2.718,360.0,134.0,494.0,489.0,5.0,0.0,0.0,0,False,True
大阪府,大阪市東淀川区,27114,177120,100.0,True,True,2,1,2012,2012,0.024,0.024,59.0,429.0,488.0,0.0,0.0,488.0,0.0,0,False,False
三重県,津市,24201,137562,50.1,True,True,85,8,2010,2018,0.09,5.268,110.0,372.0,482.0,481.0,0.0,1.0,0.0,0,False,False
神奈川県,平塚市,14203,240517,93.0,True,True,68,5,2013,2021,0.116,0.116,95.0,385.0,480.0,151.0,289.0,40.0,0.0,1,False,True
福島県,福島市,07201,185024,65.5,True,True,86,11,2010,2023,0.46,0.46,258.0,215.0,473.0,376.0,5.0,92.0,0.0,0,False,False
千葉県,松戸市,12207,487367,97.8,True,True,32,6,2010,2018,0.086,0.086,139.0,325.0,464.0,397.0,51.0,16.0,0.0,7,False,False
徳島県,徳島市,36201,178226,70.6,True,True,99,5,2011,2018,0.071,0.935,127.0,330.0,457.0,424.0,0.0,33.0,0.0,1,False,False
三重県,四日市市,24202,205948,67.4,True,True,58,6,2011,2022,0.067,0.067,50.0,405.0,455.0,425.0,0.0,30.0,0.0,6,False,False
埼玉県,草加市,11221,246259,99.2,True,True,109,6,2010,2023,0.22,0.22,91.0,359.0,450.0,413.0,0.0,37.0,0.0,1,False,False
宮崎県,日向市,45206,39762,66.7,True,True,75,8,2011,2023,0.949,1.299,205.0,243.0,448.0,437.0,0.0,11.0,0.0,1,False,False
三重県,鈴鹿市,24207,111739,57.1,True,True,36,7,2011,2017,0.073,0.073,24.0,413.0,437.0,431.0,0.0,6.0,0.0,0,False,False
愛媛県,松山市,38201,427540,83.7,True,True,125,7,2010,2022,0.086,0.086,31.0,400.0,431.0,17.0,352.0,62.0,0.0,0,False,False
静岡県,富士市,22210,200725,81.8,True,True,119,6,2010,2023,0.29,0.29,110.0,290.0,400.0,380.0,15.0,5.0,0.0,4,False,True
東京都,板橋区,13119,584483,100.0,True,True,84,8,2010,2019,0.034,0.034,290.0,109.0,399.0,24.0,6.0,369.0,0.0,0,False,True
新潟県,新潟市,15100,593568,75.2,True,True,120,1,2011,2011,0.048,0.048,53.0,334.0,387.0,0.0,0.0,387.0,0.0,0,False,False
宮城県,多賀城市,04209,59831,95.2,True,True,29,2,2011,2014,0.546,0.546,49.0,318.0,367.0,367.0,0.0,0.0,0.0,0,True,False
愛知県,名古屋市守山区,23113,160947,91.1,True,True,37,5,2011,2023,0.099,0.099,70.0,287.0,357.0,320.0,0.0,37.0,0.0,0,False,False
東京都,練馬区,13120,752608,100.0,True,True,119,10,2010,2020,0.029,0.029,223.0,130.0,353.0,7.0,11.0,335.0,0.0,0,False,True
静岡県,藤枝市,22214,86656,61.3,True,True,37,6,2012,2023,0.242,0.242,173.0,179.0,352.0,322.0,6.0,24.0,0.0,3,False,True
神奈川県,小田原市,14206,164884,87.3,True,True,58,3,2010,2021,0.134,0.134,39.0,312.0,351.0,328.0,23.0,0.0,0.0,2,False,True
宮城県,大河原町,04321,17101,72.6,True,True,23,5,2011,2019,1.418,1.511,136.0,214.0,350.0,350.0,0.0,0.0,0.0,1,False,False
愛知県,春日井市,23206,267960,86.8,True,True,79,7,2011,2021,1.451,1.451,153.0,194.0,347.0,245.0,0.0,102.0,0.0,13,False,False
宮城県,仙台市若林区,04103,136294,96.3,True,True,40,6,2010,2019,0.159,11.964,205.0,141.0,346.0,304.0,0.0,42.0,0.0,0,False,False
千葉県,市川市,12203,486306,97.9,True,True,74,4,2010,2015,0.061,0.061,151.0,190.0,341.0,324.0,0.0,17.0,0.0,0,False,False
青森県,青森市,02201,219275,79.7,True,True,99,6,2010,2022,0.574,10.513,36.0,304.0,340.0,249.0,48.0,43.0,0.0,16,False,False
愛知県,西尾市,23213,85818,50.8,True,True,94,7,2011,2023,0.082,0.082,93.0,247.0,340.0,107.0,0.0,233.0,0.0,8,False,False
宮城県,仙台市太白区,04104,218060,92.9,True,True,26,8,2010,2019,0.11,3.292,138.0,194.0,332.0,315.0,0.0,17.0,0.0,0,False,False
静岡県,静岡市駿河区,22102,204377,95.9,True,True,80,5,2014,2023,1.251,1.379,163.0,168.0,331.0,331.0,0.0,0.0,0.0,1,False,True
群馬県,伊勢崎市,10204,106774,50.4,True,True,85,7,2010,2023,0.045,0.109,81.0,233.0,314.0,283.0,6.0,25.0,0.0,1,False,False
