pref,muni,code,did_pop,did_pop_pct,urban,urban_naisui,records,years,first_year,last_year,area_takuchi_km2,area_km2,yukaue,yukashita,buildings,buildings_台風,buildings_梅雨前線,buildings_豪雨・その他,buildings_その他,kubochi_records,has_a51,hires_dem_pref
長崎県,大村市,42205,66965,70.2,True,True,41,1,2020,2020,0.037,0.037,83.0,51.0,134.0,0.0,134.0,0.0,0.0,41,False,False
静岡県,浜松市中区,22131,229224,97.4,True,True,25,8,2010,2023,1.098,1.599,26.0,105.0,131.0,109.0,0.0,22.0,0.0,0,False,True
栃木県,宇都宮市,09201,403616,77.8,True,True,25,5,2014,2018,0.018,0.018,46.0,85.0,131.0,108.0,0.0,23.0,0.0,0,False,False
青森県,八戸市,02203,157255,70.4,True,True,53,8,2010,2019,0.056,0.399,31.0,99.0,130.0,70.0,0.0,60.0,0.0,0,True,False
埼玉県,さいたま市中央区,11105,103269,100.0,True,True,42,7,2013,2023,0.142,0.142,58.0,69.0,127.0,112.0,0.0,15.0,0.0,0,False,False
埼玉県,さいたま市大宮区,11103,117490,99.8,True,True,32,6,2013,2023,0.073,0.073,95.0,31.0,126.0,75.0,0.0,51.0,0.0,0,False,False
東京都,武蔵野市,13203,150149,100.0,True,True,16,4,2010,2018,0.062,0.062,49.0,77.0,126.0,0.0,0.0,126.0,0.0,0,False,True
埼玉県,蓮田市,11238,42386,68.9,True,True,2,2,2013,2016,0.012,0.132,0.0,123.0,123.0,123.0,0.0,0.0,0.0,1,False,False
東京都,渋谷区,13113,243883,100.0,True,True,52,5,2010,2021,0.018,0.018,91.0,32.0,123.0,23.0,2.0,98.0,0.0,0,False,True
京都府,向日市,26208,56655,99.6,True,True,12,4,2010,2015,0.012,0.179,9.0,113.0,122.0,115.0,0.0,7.0,0.0,0,False,False
栃木県,足利市,09202,91229,63.0,True,True,35,3,2014,2019,1.667,1.741,55.0,66.0,121.0,85.0,36.0,0.0,0.0,0,False,False
千葉県,千葉市稲毛区,12103,156851,97.7,True,True,23,7,2012,2023,0.025,0.025,13.0,108.0,121.0,101.0,4.0,16.0,0.0,4,False,False
東京都,北区,13117,355213,100.0,True,True,88,6,2010,2018,0.039,0.039,70.0,49.0,119.0,0.0,4.0,115.0,0.0,0,False,True
大阪府,大阪市東成区,27115,84906,100.0,True,True,9,2,2012,2019,0.013,0.013,1.0,114.0,115.0,18.0,0.0,97.0,0.0,0,False,False
東京都,文京区,13105,240069,100.0,True,True,20,6,2010,2021,0.006,0.006,92.0,21.0,113.0,12.0,1.0,100.0,0.0,0,False,True
東京都,三鷹市,13204,195391,100.0,True,True,19,6,2011,2019,0.013,0.013,40.0,72.0,112.0,3.0,44.0,65.0,0.0,0,False,True
神奈川県,秦野市,14211,144282,88.8,True,True,25,5,2010,2015,0.013,0.013,64.0,47.0,111.0,10.0,32.0,69.0,0.0,1,False,True
熊本県,荒尾市,43204,25855,50.8,True,True,5,2,2020,2021,1.487,1.487,9.0,101.0,110.0,0.0,103.0,7.0,0.0,0,False,False
神奈川県,藤沢市,14205,411445,94.1,True,True,34,5,2013,2017,0.018,0.018,53.0,56.0,109.0,109.0,0.0,0.0,0.0,0,False,True
山口県,下関市,35201,167629,65.7,True,True,34,4,2010,2015,0.546,0.55,3.0,104.0,107.0,84.0,20.0,3.0,0.0,0,False,False
東京都,立川市,13202,182834,99.6,True,True,37,5,2010,2022,0.023,0.023,14.0,93.0,107.0,68.0,8.0,31.0,0.0,0,False,True
北海道,釧路市,01206,148153,89.7,True,True,58,3,2013,2021,0.957,0.957,12.0,94.0,106.0,104.0,0.0,2.0,0.0,0,False,False
京都府,京都市西京区,26111,138152,92.2,True,True,26,4,2010,2018,0.009,0.009,28.0,77.0,105.0,102.0,1.0,2.0,0.0,0,False,False
埼玉県,新座市,11230,156505,94.3,True,True,28,5,2010,2017,0.017,0.017,32.0,72.0,104.0,46.0,23.0,35.0,0.0,0,False,False
福岡県,北九州市小倉北区,40106,181525,99.0,True,True,14,3,2013,2017,0.014,0.014,21.0,83.0,104.0,9.0,94.0,1.0,0.0,0,False,False
熊本県,益城町,43443,21314,65.6,True,True,2,1,2016,2016,0.11,0.11,21.0,82.0,103.0,0.0,103.0,0.0,0.0,0,False,False
埼玉県,坂戸市,11239,67890,67.7,True,True,8,3,2017,2022,0.321,5.62,42.0,60.0,102.0,99.0,0.0,3.0,0.0,2,False,False
京都府,京都市下京区,26106,82784,100.0,True,True,24,2,2010,2014,0.012,0.012,12.0,89.0,101.0,25.0,0.0,76.0,0.0,0,False,False
新潟県,長岡市,15202,130872,49.0,False,False,571,5,2010,2019,0.6,13.879,894.0,2323.0,3217.0,23.0,1382.0,1812.0,0.0,1,False,False
佐賀県,武雄市,41206,7377,15.4,False,False,185,9,2010,2021,6.017,64.095,1637.0,1021.0,2658.0,106.0,59.0,2493.0,0.0,0,False,False
佐賀県,白石町,,0,0.0,False,False,225,9,2010,2021,8.608,63.875,160.0,2379.0,2539.0,67.0,425.0,2047.0,0.0,91,False,False
愛媛県,宇和島市,38203,29893,42.2,False,False,76,7,2011,2021,0.084,0.084,1230.0,1100.0,2330.0,2226.0,55.0,49.0,0.0,0,False,False
岩手県,宮古市,03202,10781,21.4,False,False,373,5,2010,2019,6.099,6.595,1136.0,1111.0,2247.0,2187.0,1.0,59.0,0.0,0,False,False
三重県,伊勢市,24203,54923,44.7,False,False,168,11,2010,2023,0.556,0.646,1318.0,859.0,2177.0,2085.0,15.0,77.0,0.0,6,False,False
栃木県,栃木市,09203,60411,38.8,False,False,143,6,2011,2019,3.576,3.586,411.0,1619.0,2030.0,2030.0,0.0,0.0,0.0,0,False,False
宮城県,角田市,04208,5784,20.7,False,False,255,9,2010,2019,1.877,27.613,11.0,1667.0,1678.0,1677.0,0.0,1.0,0.0,5,False,False
秋田県,大仙市,05212,16795,21.7,False,False,386,12,2010,2023,4.114,48.488,570.0,933.0,1503.0,1.0,1350.0,152.0,0.0,0,False,False
宮城県,大崎市,04215,46935,36.9,False,False,256,8,2011,2022,10.209,114.697,254.0,988.0,1242.0,925.0,2.0,315.0,0.0,0,False,False
和歌山県,海南市,30202,14155,29.3,False,False,94,7,2012,2018,0.897,0.897,114.0,1098.0,1212.0,1077.0,0.0,135.0,0.0,0,False,False
佐賀県,小城市,41208,6881,15.7,False,False,48,8,2010,2021,1.965,11.627,461.0,706.0,1167.0,0.0,26.0,1141.0,0.0,0,False,False
栃木県,鹿沼市,09205,40233,42.8,False,False,143,6,2010,2019,10.149,13.816,296.0,838.0,1134.0,1069.0,0.0,65.0,0.0,0,False,False
鹿児島県,奄美市,46222,12662,30.6,False,False,96,4,2010,2015,0.114,2.12,322.0,805.0,1127.0,117.0,3.0,1007.0,0.0,0,False,False
鹿児島県,瀬戸内町,,0,0.0,False,False,140,5,2010,2023,0.168,0.433,194.0,851.0,1045.0,305.0,114.0,626.0,0.0,0,False,False
福岡県,飯塚市,40205,47677,37.7,False,False,55,7,2010,2023,1.57,2.978,535.0,454.0,989.0,728.0,232.0,29.0,0.0,0,False,False
和歌山県,有田市,30204,5833,22.0,False,False,75,11,2011,2023,2.336,3.136,213.0,768.0,981.0,968.0,0.0,13.0,0.0,6,False,False
新潟県,魚沼市,,0,0.0,False,False,190,5,2011,2023,0.569,1.114,174.0,763.0,937.0,21.0,156.0,760.0,0.0,7,False,False
徳島県,小松島市,36203,14694,40.6,False,False,167,7,2011,2018,0.089,0.09,201.0,728.0,929.0,801.0,0.0,128.0,0.0,0,False,False
秋田県,大館市,05204,24063,34.8,False,False,182,7,2010,2022,0.305,5.403,469.0,447.0,916.0,35.0,0.0,877.0,4.0,0,False,False
徳島県,阿南市,36204,5128,7.4,False,False,126,7,2011,2018,0.267,0.477,86.0,712.0,798.0,791.0,0.0,7.0,0.0,31,False,False
兵庫県,豊岡市,28209,16948,21.9,False,False,291,7,2011,2023,0.38,23.607,452.0,342.0,794.0,756.0,0.0,38.0,0.0,0,False,True
大分県,日田市,44204,27859,44.5,False,False,11,3,2012,2018,0.38,0.475,266.0,525.0,791.0,2.0,789.0,0.0,0.0,0,False,False
兵庫県,洲本市,28205,9846,23.9,False,False,272,8,2010,2018,0.27,0.27,76.0,678.0,754.0,701.0,3.0,50.0,0.0,0,False,True
大分県,佐伯市,44205,22447,33.6,False,False,165,10,2011,2022,0.787,1.994,191.0,536.0,727.0,600.0,0.0,127.0,0.0,42,False,False
石川県,小松市,17203,34682,32.6,False,False,60,5,2012,2022,0.126,0.126,205.0,519.0,724.0,1.0,101.0,622.0,0.0,0,False,False
岡山県,玉野市,33204,15918,28.1,False,False,62,4,2011,2017,5.738,7.533,371.0,353.0,724.0,724.0,0.0,0.0,0.0,0,False,False
宮城県,気仙沼市,04205,5790,9.5,False,False,41,5,2012,2019,0.784,0.784,344.0,339.0,683.0,131.0,483.0,69.0,0.0,2,False,False
大分県,臼杵市,44206,12844,35.5,False,False,25,2,2017,2018,0.664,1.096,108.0,553.0,661.0,661.0,0.0,0.0,0.0,0,False,False
京都府,綾部市,26203,12169,38.2,False,False,201,6,2011,2023,1.882,7.156,90.0,549.0,639.0,506.0,0.0,133.0,0.0,2,False,False
静岡県,浜松市浜北区,22136,41271,41.8,False,False,30,7,2010,2023,3.615,5.883,183.0,451.0,634.0,509.0,2.0,123.0,0.0,0,False,True
千葉県,茂原市,12210,32027,36.9,False,False,11,3,2013,2023,1.466,1.48,309.0,321.0,630.0,630.0,0.0,0.0,0.0,0,False,False
高知県,四万十市,39210,10240,31.3,False,False,82,5,2011,2021,1.724,1.925,458.0,157.0,615.0,436.0,103.0,76.0,0.0,0,False,False
秋田県,能代市,05202,17269,34.6,False,False,159,12,2010,2023,8.422,14.526,120.0,492.0,612.0,100.0,388.0,124.0,0.0,1,False,False
山口県,岩国市,35208,62196,48.2,False,False,68,4,2010,2022,2.849,2.853,65.0,542.0,607.0,544.0,63.0,0.0,0.0,0,False,False
福島県,いわき市,07204,143992,43.3,False,False,84,7,2010,2016,1.54,1.848,237.0,365.0,602.0,114.0,3.0,485.0,0.0,0,False,False
広島県,尾道市,34205,48121,36.7,False,False,49,4,2013,2021,0.074,0.475,252.0,332.0,584.0,377.0,207.0,0.0,0.0,0,False,False
大分県,津久見市,44207,6635,41.2,False,False,17,2,2016,2017,0.711,0.712,258.0,312.0,570.0,570.0,0.0,0.0,0.0,0,False,False
愛媛県,西条市,38206,25609,24.4,False,False,168,7,2011,2020,0.217,0.217,93.0,471.0,564.0,560.0,2.0,2.0,0.0,0,False,False
埼玉県,羽生市,11216,19453,36.8,False,False,43,7,2010,2019,0.295,0.295,40.0,504.0,544.0,538.0,0.0,6.0,0.0,0,False,False
長野県,飯山市,,0,0.0,False,False,31,4,2017,2021,0.634,7.136,120.0,410.0,530.0,528.0,1.0,1.0,0.0,0,False,False
徳島県,海陽町,,0,0.0,False,False,33,5,2011,2021,1.343,6.257,93.0,432.0,525.0,402.0,0.0,123.0,0.0,0,False,False
福岡県,みやま市,,0,0.0,False,False,72,5,2012,2021,3.988,24.494,32.0,486.0,518.0,1.0,292.0,225.0,0.0,0,False,False
高知県,宿毛市,,0,0.0,False,False,16,3,2014,2019,0.038,4.3,68.0,437.0,505.0,502.0,1.0,2.0,0.0,0,False,False
新潟県,南魚沼市,15226,5849,10.7,False,False,102,6,2011,2022,0.126,0.126,99.0,388.0,487.0,51.0,49.0,387.0,0.0,0,False,False
石川県,七尾市,17202,10006,19.9,False,False,171,10,2010,2023,0.033,7.98,58.0,419.0,477.0,26.0,33.0,418.0,0.0,5,False,False
兵庫県,多可町,,0,0.0,False,False,73,3,2010,2018,0.11,0.501,31.0,423.0,454.0,453.0,0.0,1.0,0.0,0,False,True
宮城県,松島町,04401,6592,49.5,False,False,82,7,2011,2022,2.232,6.462,180.0,272.0,452.0,267.0,0.0,185.0,0.0,0,False,False
和歌山県,紀の川市,,0,0.0,False,False,38,7,2011,2023,2.233,4.29,169.0,282.0,451.0,450.0,1.0,0.0,0.0,5,False,False
和歌山県,田辺市,30206,28986,41.5,False,False,50,5,2011,2017,0.203,0.328,153.0,294.0,447.0,336.0,9.0,102.0,0.0,0,False,False
新潟県,上越市,15222,87881,46.7,False,False,180,10,2011,2023,0.469,0.95,108.0,338.0,446.0,340.0,8.0,98.0,0.0,0,False,False
静岡県,袋井市,22216,18966,21.6,False,False,32,7,2012,2023,0.095,1.325,180.0,262.0,442.0,420.0,0.0,22.0,0.0,0,False,True
和歌山県,那智勝浦町,,0,0.0,False,False,8,2,2017,2018,0.087,0.087,18.0,420.0,438.0,438.0,0.0,0.0,0.0,0,False,False
岩手県,紫波町,,0,0.0,False,False,125,2,2013,2017,0.319,1.502,110.0,328.0,438.0,0.0,0.0,438.0,0.0,0,False,False
宮崎県,都城市,45202,69037,43.0,False,False,180,9,2010,2022,1.465,14.108,101.0,323.0,424.0,185.0,133.0,106.0,0.0,0,False,False
茨城県,境町,08546,7512,31.0,False,False,53,3,2014,2019,0.794,6.353,104.0,309.0,413.0,413.0,0.0,0.0,0.0,0,False,False
新潟県,村上市,15212,15291,26.6,False,False,82,5,2010,2022,0.695,21.531,78.0,317.0,395.0,0.0,9.0,386.0,0.0,0,False,False
熊本県,宇城市,43213,7965,14.0,False,False,46,5,2011,2020,2.097,2.28,84.0,309.0,393.0,20.0,371.0,2.0,0.0,2,False,False
滋賀県,甲賀市,25209,18388,20.8,False,False,48,2,2013,2014,0.142,0.968,159.0,234.0,393.0,392.0,0.0,1.0,0.0,1,False,False
福島県,伊達市,07213,10888,18.7,False,False,90,5,2010,2019,0.167,2.0,22.0,364.0,386.0,363.0,0.0,23.0,0.0,0,False,False
福岡県,嘉麻市,,0,0.0,False,False,44,3,2010,2018,0.346,0.346,111.0,274.0,385.0,49.0,336.0,0.0,0.0,0,False,False
京都府,宮津市,26205,5198,31.0,False,False,45,4,2013,2023,0.117,0.117,12.0,372.0,384.0,366.0,0.0,18.0,0.0,0,False,False
兵庫県,加西市,28220,9100,21.3,False,False,124,5,2011,2018,0.112,0.178,24.0,339.0,363.0,351.0,0.0,12.0,0.0,0,False,True
高知県,いの町,,0,0.0,False,False,56,3,2010,2019,1.545,1.545,173.0,187.0,360.0,357.0,0.0,3.0,0.0,0,False,False
岡山県,井原市,33207,5846,15.2,False,False,40,4,2010,2018,0.087,1.446,217.0,142.0,359.0,341.0,18.0,0.0,0.0,0,False,False
佐賀県,江北町,,0,0.0,False,False,21,3,2012,2021,16.627,23.251,14.0,345.0,359.0,0.0,4.0,355.0,0.0,0,False,False
兵庫県,西脇市,28213,14886,38.5,False,False,63,7,2010,2023,0.785,0.941,108.0,249.0,357.0,271.0,0.0,86.0,0.0,0,False,True
福岡県,うきは市,,0,0.0,False,False,53,6,2012,2023,0.236,0.304,98.0,257.0,355.0,2.0,266.0,87.0,0.0,0,False,False
岡山県,岡山市東区,33103,41305,44.4,False,False,67,6,2011,2018,2.02,2.204,60.0,294.0,354.0,340.0,12.0,2.0,0.0,0,False,False
宮城県,丸森町,,0,0.0,False,False,53,5,2011,2019,9.806,14.366,5.0,342.0,347.0,346.0,1.0,0.0,0.0,2,False,False
静岡県,磐田市,22211,74115,44.4,False,False,23,5,2014,2023,1.633,1.633,161.0,185.0,346.0,345.0,0.0,1.0,0.0,0,False,True
宮城県,登米市,04212,9968,13.1,False,False,119,6,2010,2022,0.664,0.664,36.0,307.0,343.0,162.0,13.0,168.0,0.0,9,False,False
徳島県,鳴門市,36202,19083,34.9,False,False,108,9,2011,2022,0.066,0.193,84.0,258.0,342.0,322.0,0.0,20.0,0.0,0,False,False
秋田県,鹿角市,,0,0.0,False,False,277,10,2010,2022,0.171,1.248,28.0,306.0,334.0,44.0,17.0,273.0,0.0,0,False,False
京都府,京丹後市,,0,0.0,False,False,127,10,2010,2023,0.119,2.916,45.0,285.0,330.0,251.0,9.0,70.0,0.0,0,False,False
秋田県,仙北市,,0,0.0,False,False,93,5,2010,2023,0.409,1.953,56.0,274.0,330.0,0.0,132.0,198.0,0.0,26,False,False
島根県,浜田市,32202,9474,17.4,False,False,96,2,2013,2017,0.055,0.055,61.0,265.0,326.0,0.0,3.0,323.0,0.0,0,False,False
岩手県,釜石市,03211,12730,39.7,False,False,22,6,2012,2019,0.263,0.263,139.0,182.0,321.0,234.0,0.0,87.0,0.0,3,False,False
宮城県,涌谷町,,0,0.0,False,False,34,9,2010,2022,0.145,1.903,58.0,255.0,313.0,295.0,0.0,18.0,0.0,11,False,False
高知県,日高村,,0,0.0,False,False,8,1,2014,2014,0.031,0.031,206.0,104.0,310.0,310.0,0.0,0.0,0.0,0,False,False
秋田県,五城目町,,0,0.0,False,False,43,4,2011,2023,0.293,0.647,60.0,240.0,300.0,25.0,183.0,92.0,0.0,0,False,False
広島県,東広島市,34212,67464,34.3,False,False,38,4,2010,2023,0.343,0.393,110.0,190.0,300.0,93.0,206.0,1.0,0.0,0,False,False
三重県,紀北町,,0,0.0,False,False,28,5,2011,2023,0.149,0.149,66.0,232.0,298.0,283.0,0.0,15.0,0.0,0,False,False
鹿児島県,龍郷町,,0,0.0,False,False,36,3,2010,2012,0.103,0.103,34.0,263.0,297.0,27.0,0.0,270.0,0.0,0,False,False
高知県,四万十町,,0,0.0,False,False,4,4,2012,2021,0.037,0.037,167.0,129.0,296.0,296.0,0.0,0.0,0.0,0,False,False
岩手県,一関市,03209,19247,17.2,False,False,48,9,2010,2023,0.66,4.812,224.0,71.0,295.0,19.0,251.0,25.0,0.0,0,False,False
長野県,諏訪市,20206,14381,29.5,False,False,40,4,2013,2021,0.052,0.052,6.0,286.0,292.0,0.0,0.0,292.0,0.0,0,False,False
秋田県,横手市,05203,11205,13.1,False,False,53,7,2010,2019,0.518,6.118,3.0,286.0,289.0,12.0,133.0,144.0,0.0,0,False,False
岐阜県,可児市,21214,33761,33.8,False,False,130,3,2010,2021,0.363,0.363,123.0,165.0,288.0,62.0,225.0,1.0,0.0,0,False,False
鳥取県,倉吉市,31203,14727,31.7,False,False,94,7,2011,2023,0.132,0.132,22.0,265.0,287.0,203.0,78.0,6.0,0.0,8,False,True
静岡県,浜松市天竜区,,0,0.0,False,False,44,5,2010,2023,0.517,1.155,98.0,187.0,285.0,283.0,2.0,0.0,0.0,3,False,True
秋田県,由利本荘市,05210,16115,21.6,False,False,242,12,2010,2023,0.79,10.545,56.0,228.0,284.0,0.0,251.0,33.0,0.0,2,False,False
愛媛県,松前町,38401,13243,44.7,False,False,20,5,2010,2020,0.072,0.072,45.0,238.0,283.0,228.0,53.0,2.0,0.0,0,False,False
山形県,鶴岡市,06203,57238,46.8,False,False,76,8,2010,2020,0.068,5.506,19.0,262.0,281.0,15.0,61.0,205.0,0.0,0,False,False
群馬県,太田市,10205,88753,39.8,False,False,40,7,2010,2019,0.635,1.454,101.0,178.0,279.0,258.0,1.0,20.0,0.0,0,False,False
青森県,五所川原市,02205,14552,28.3,False,False,183,7,2010,2022,1.131,6.126,84.0,195.0,279.0,82.0,3.0,194.0,0.0,0,False,False
福岡県,朝倉市,40228,12906,25.7,False,False,223,7,2010,2021,0.116,0.15,24.0,254.0,278.0,86.0,188.0,4.0,0.0,2,False,False
高知県,土佐市,39205,6197,24.1,False,False,85,5,2014,2023,1.696,10.165,38.0,236.0,274.0,264.0,0.0,10.0,0.0,0,False,False
佐賀県,大町町,,0,0.0,False,False,21,5,2010,2021,3.132,9.115,41.0,233.0,274.0,0.0,5.0,269.0,0.0,0,False,False
兵庫県,丹波市,,0,0.0,False,False,159,4,2011,2022,3.238,4.794,53.0,215.0,268.0,184.0,0.0,84.0,0.0,0,False,True
京都府,与謝野町,,0,0.0,False,False,29,7,2011,2023,0.148,0.151,27.0,238.0,265.0,209.0,0.0,56.0,0.0,0,False,False
静岡県,牧之原市,22226,9118,21.0,False,False,67,6,2011,2022,0.283,0.483,49.0,215.0,264.0,196.0,6.0,62.0,0.0,0,False,True
静岡県,菊川市,22224,11272,23.6,False,False,110,4,2016,2022,0.102,0.102,21.0,243.0,264.0,126.0,0.0,138.0,0.0,41,False,True
岡山県,真庭市,,0,0.0,False,False,87,5,2010,2018,0.244,0.244,64.0,198.0,262.0,146.0,1.0,115.0,0.0,0,False,False
福岡県,八女市,40210,7499,12.4,False,False,31,5,2012,2023,0.083,0.226,132.0,129.0,261.0,0.0,224.0,37.0,0.0,10,False,False
福岡県,直方市,40204,22458,40.0,False,False,29,4,2010,2023,0.299,0.898,62.0,196.0,258.0,62.0,185.0,11.0,0.0,0,False,False
長野県,上田市,20203,46284,30.0,False,False,101,12,2010,2023,0.078,0.078,62.0,195.0,257.0,71.0,7.0,179.0,0.0,0,False,False
愛知県,津島市,23208,29812,48.9,False,False,23,7,2010,2022,0.242,0.242,34.0,222.0,256.0,160.0,25.0,71.0,0.0,4,False,False
島根県,出雲市,32203,38443,22.3,False,False,260,7,2011,2023,0.095,0.494,35.0,215.0,250.0,3.0,242.0,5.0,0.0,1,False,False
山形県,白鷹町,,0,0.0,False,False,83,5,2013,2022,3.449,7.639,57.0,177.0,234.0,66.0,7.0,161.0,0.0,0,False,False
宮崎県,西都市,45208,6583,23.0,False,False,28,4,2016,2022,0.048,3.885,76.0,157.0,233.0,233.0,0.0,0.0,0.0,0,False,False
福岡県,柳川市,40207,9361,14.5,False,False,31,4,2010,2021,0.034,2.456,8.0,221.0,229.0,0.0,149.0,80.0,0.0,1,False,False
新潟県,関川村,,0,0.0,False,False,10,2,2014,2022,0.379,1.17,8.0,219.0,227.0,6.0,0.0,221.0,0.0,0,False,False
宮城県,山元町,,0,0.0,False,False,96,5,2014,2020,1.118,9.409,3.0,223.0,226.0,212.0,0.0,14.0,0.0,52,False,False
新潟県,十日町市,15210,15070,30.2,False,False,44,3,2010,2017,0.11,0.137,20.0,200.0,220.0,0.0,4.0,216.0,0.0,1,False,False
熊本県,甲佐町,,0,0.0,False,False,16,1,2016,2016,0.029,0.029,31.0,188.0,219.0,0.0,219.0,0.0,0.0,0,False,False
福岡県,田川市,40206,12014,26.0,False,False,13,3,2010,2018,0.019,0.099,3.0,216.0,219.0,5.0,214.0,0.0,0.0,0,False,False
鹿児島県,大和村,,0,0.0,False,False,28,2,2010,2012,0.023,0.023,30.0,186.0,216.0,83.0,1.0,132.0,0.0,0,False,False
栃木県,日光市,09206,7045,9.1,False,False,89,2,2015,2016,1.339,1.352,11.0,204.0,215.0,215.0,0.0,0.0,0.0,0,False,False
愛媛県,大洲市,38207,5078,12.5,False,False,231,8,2011,2023,1.185,9.912,43.0,169.0,212.0,211.0,0.0,1.0,0.0,0,True,False
山形県,川西町,,0,0.0,False,False,23,4,2013,2022,11.951,12.638,108.0,103.0,211.0,44.0,0.0,167.0,0.0,0,False,False
広島県,三次市,34209,8793,17.3,False,False,122,7,2010,2021,1.189,1.204,8.0,201.0,209.0,142.0,18.0,49.0,0.0,0,False,False
宮城県,栗原市,,0,0.0,False,False,158,4,2012,2019,0.08,30.253,40.0,168.0,208.0,151.0,53.0,4.0,0.0,0,False,False
山口県,周防大島町,,0,0.0,False,False,75,2,2019,2020,0.176,0.176,17.0,191.0,208.0,15.0,193.0,0.0,0.0,0,False,False
岐阜県,下呂市,,0,0.0,False,False,61,2,2020,2021,0.208,0.208,63.0,144.0,207.0,0.0,204.0,3.0,0.0,0,False,False
新潟県,五泉市,15218,20956,44.0,False,False,136,7,2010,2020,0.031,0.231,13.0,193.0,206.0,0.0,15.0,191.0,0.0,0,False,False
島根県,津和野町,,0,0.0,False,False,36,2,2010,2013,0.273,0.311,0.0,200.0,200.0,0.0,5.0,195.0,0.0,0,False,False
三重県,松阪市,24204,74258,46.6,False,False,14,5,2011,2017,0.182,0.462,88.0,112.0,200.0,200.0,0.0,0.0,0.0,3,False,False
福岡県,大川市,40212,7564,22.9,False,False,23,7,2010,2023,0.534,1.278,5.0,193.0,198.0,53.0,76.0,69.0,0.0,0,False,False
山形県,南陽市,06213,6308,20.7,False,False,148,10,2010,2022,0.388,11.71,54.0,135.0,189.0,29.0,74.0,86.0,0.0,0,False,False
和歌山県,白浜町,,0,0.0,False,False,14,2,2011,2014,0.02,0.02,109.0,78.0,187.0,187.0,0.0,0.0,0.0,0,False,False
岩手県,雫石町,,0,0.0,False,False,3,1,2013,2013,0.146,0.26,15.0,172.0,187.0,0.0,0.0,187.0,0.0,0,False,False
茨城県,北茨城市,,0,0.0,False,False,18,3,2014,2023,0.786,2.171,17.0,169.0,186.0,186.0,0.0,0.0,0.0,2,False,False
岡山県,総社市,33208,26147,37.9,False,False,28,4,2011,2018,1.154,1.203,42.0,137.0,179.0,142.0,20.0,17.0,0.0,0,False,False
新潟県,田上町,,0,0.0,False,False,51,4,2011,2021,0.079,0.185,142.0,37.0,179.0,0.0,19.0,160.0,0.0,0,False,False
滋賀県,高島市,,0,0.0,False,False,37,1,2013,2013,0.053,0.053,17.0,159.0,176.0,176.0,0.0,0.0,0.0,0,False,False
鹿児島県,霧島市,46218,49490,40.2,False,False,30,5,2010,2023,1.098,1.098,48.0,126.0,174.0,2.0,141.0,31.0,0.0,1,False,False
徳島県,吉野川市,36205,6134,15.8,False,False,39,7,2011,2018,0.47,6.268,12.0,161.0,173.0,154.0,0.0,19.0,0.0,0,False,False
和歌山県,かつらぎ町,,0,0.0,False,False,23,4,2011,2023,0.263,0.674,106.0,66.0,172.0,172.0,0.0,0.0,0.0,0,False,False
島根県,益田市,32204,10385,23.1,False,False,34,3,2013,2021,0.027,0.079,81.0,91.0,172.0,0.0,6.0,166.0,0.0,0,True,False
長崎県,対馬市,,0,0.0,False,False,54,5,2012,2023,0.037,0.037,44.0,128.0,172.0,126.0,1.0,45.0,0.0,0,False,False
愛媛県,八幡浜市,38204,10985,34.3,False,False,27,2,2017,2018,0.259,0.259,20.0,151.0,171.0,171.0,0.0,0.0,0.0,0,False,False
山形県,高畠町,,0,0.0,False,False,52,6,2010,2022,0.093,2.021,70.0,95.0,165.0,60.0,63.0,42.0,0.0,0,False,False
新潟県,小千谷市,15208,10476,30.7,False,False,64,3,2011,2019,0.204,0.243,30.0,135.0,165.0,18.0,113.0,34.0,0.0,0,False,False
三重県,伊賀市,24216,21409,24.1,False,False,19,4,2013,2016,0.05,0.05,3.0,155.0,158.0,140.0,0.0,18.0,0.0,0,False,False
宮崎県,高鍋町,45401,9653,48.5,False,False,37,4,2014,2022,0.027,1.558,21.0,136.0,157.0,78.0,79.0,0.0,0.0,0,False,False
岡山県,早島町,33423,5030,40.7,False,False,25,3,2011,2018,0.636,1.263,14.0,138.0,152.0,152.0,0.0,0.0,0.0,1,False,False
福井県,若狭町,,0,0.0,False,False,44,4,2011,2018,0.073,1.99,30.0,120.0,150.0,150.0,0.0,0.0,0.0,0,False,False
山形県,戸沢村,,0,0.0,False,False,11,4,2010,2020,0.251,5.188,18.0,132.0,150.0,0.0,6.0,144.0,0.0,0,False,False
新潟県,佐渡市,,0,0.0,False,False,69,6,2010,2020,0.065,0.094,40.0,110.0,150.0,43.0,45.0,62.0,0.0,0,False,False
兵庫県,篠山市,,0,0.0,False,False,54,5,2010,2018,0.017,0.017,38.0,112.0,150.0,138.0,0.0,12.0,0.0,0,False,True
奈良県,桜井市,29206,24857,45.3,False,False,67,9,2012,2023,0.028,0.028,3.0,147.0,150.0,41.0,8.0,101.0,0.0,0,False,False
長野県,千曲市,20218,20091,34.2,False,False,12,4,2010,2019,2.005,2.02,12.0,136.0,148.0,103.0,21.0,24.0,0.0,0,False,False
茨城県,高萩市,08214,7321,26.4,False,False,28,2,2011,2023,0.021,0.021,18.0,129.0,147.0,147.0,0.0,0.0,0.0,0,False,False
茨城県,石岡市,08205,26454,36.2,False,False,34,3,2010,2015,0.13,0.555,21.0,126.0,147.0,86.0,0.0,61.0,0.0,0,False,False
