rank,pref,pref_code,muni,did_pop_pct,yukaue,yukashita,buildings,takuchi_share,first_year,last_year,years,has_a51,a51_km2,hires_dem_pref,hires_dem,wards,typhoon_share,tsuyu_share,gou_share,etc_share
140,鳥取県,31,鳥取市,55.2,32.0,128.0,160.0,0.4481605351170569,2011,2023,6,True,8.08,True,DEM 0.5m,,0.58125,0.3875,0.03125,0.0
141,奈良県,29,田原本町,60.3,10.0,146.0,156.0,0.8028846153846154,2010,2023,6,False,,False,,,0.5256410256410257,0.038461538461538464,0.4358974358974359,0.0
142,埼玉県,11,吉川市,82.9,49.0,102.0,151.0,1.0,2011,2023,4,False,,False,,,0.9867549668874173,0.0,0.013245033112582781,0.0
143,滋賀県,25,栗東市,69.8,6.0,141.0,147.0,1.0,2010,2021,5,False,,False,,,0.9319727891156463,0.006802721088435374,0.061224489795918366,0.0
144,愛知県,23,小牧市,79.0,6.0,133.0,139.0,1.0,2013,2019,5,False,,False,,,0.02877697841726619,0.0,0.9712230215827338,0.0
145,神奈川県,14,鎌倉市,96.4,96.0,43.0,139.0,1.0,2014,2014,1,False,,True,DEM 0.5m（R4 範囲は 1m・DSM も）,,1.0,0.0,0.0,0.0
146,北海道,1,岩見沢市,59.3,53.0,86.0,139.0,0.3271948608137045,2010,2012,2,False,,False,,,0.0,0.0,1.0,0.0
147,長崎県,42,大村市,70.2,83.0,51.0,134.0,1.0,2020,2020,1,False,,False,,,0.0,1.0,0.0,0.0
148,栃木県,9,宇都宮市,77.8,46.0,85.0,131.0,1.0,2014,2018,5,False,,False,,,0.8244274809160306,0.0,0.17557251908396945,0.0
149,青森県,2,八戸市,70.4,31.0,99.0,130.0,0.14035087719298245,2010,2019,8,True,16.49,False,,,0.5384615384615384,0.0,0.46153846153846156,0.0
150,東京都,13,武蔵野市,100.0,49.0,77.0,126.0,1.0,2010,2018,4,False,,True,DEM 0.25m・0.5m（点群 LAS）,,0.0,0.0,1.0,0.0
151,東京都,13,渋谷区,100.0,91.0,32.0,123.0,1.0,2010,2021,5,False,,True,DEM 0.25m・0.5m（点群 LAS）,,0.18699186991869918,0.016260162601626018,0.7967479674796748,0.0
152,埼玉県,11,蓮田市,68.9,0.0,123.0,123.0,0.09090909090909091,2013,2016,2,False,,False,,,1.0,0.0,0.0,0.0
153,京都府,26,向日市,99.6,9.0,113.0,122.0,0.0670391061452514,2010,2015,4,False,,False,,,0.9426229508196722,0.0,0.05737704918032787,0.0
