year,pref,muni,cause,area_takuchi_m2,area_nouchi_m2,area_m2,area_chika_m2,yukashita,yukaue_1_49,yukaue_50_99,yukaue_100,yukaue,hankai,zenkai
2010,北海道,石狩市,内水,280.0,0.0,280.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,古平町,内水,13150.0,0.0,13150.0,0.0,8.0,5.0,0.0,0.0,5.0,0.0,0.0
2010,北海道,古平町,内水,1360.0,0.0,1360.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,古平町,内水,13760.0,0.0,13760.0,0.0,10.0,3.0,0.0,0.0,3.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,1090.0,1090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,11310.0,11310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,10830.0,10830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,4840.0,4840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,上ノ国町,内水,219.0,0.0,219.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,せたな町,内水,0.0,180000.0,180000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,せたな町,内水,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,せたな町,内水,0.0,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,中頓別町,内水,0.0,53980.0,53980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,中頓別町,内水,0.0,169080.0,169080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,中頓別町,内水,0.0,6440.0,6440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,中頓別町,内水,0.0,43050.0,43050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,中頓別町,内水,0.0,31910.0,31910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,せたな町,内水,330.0,0.0,330.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,せたな町,内水,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,余市町,内水,480.0,0.0,480.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,1860.0,1860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,8020.0,8020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,1670.0,1670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,4020.0,4020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,7770.0,7770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,10880.0,10880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,2660.0,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,1590.0,1590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,27680.0,27680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,6110.0,6110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,15470.0,15470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,4460.0,4460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,12510.0,12510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,730.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,4020.0,4020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,2980.0,2980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,6050.0,6050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,610.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,13260.0,13260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,10280.0,10280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,6830.0,6830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,2140.0,2140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,7430.0,7430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,590.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,2130.0,2130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,5360.0,5360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,19270.0,19270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,1640.0,1640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,3960.0,3960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,枝幸町,内水,0.0,178290.0,178290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,枝幸町,内水,0.0,70160.0,70160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,枝幸町,内水,500.0,0.0,500.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2010,北海道,枝幸町,内水,0.0,134970.0,134970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,枝幸町,内水,0.0,10050.0,10050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,枝幸町,内水,500.0,0.0,500.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2010,北海道,枝幸町,内水,0.0,10230.0,10230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,枝幸町,内水,500.0,0.0,500.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2010,北海道,枝幸町,内水,0.0,14970.0,14970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,枝幸町,内水,0.0,10310.0,10310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,枝幸町,内水,0.0,10030.0,10030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,せたな町,内水,0.0,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,2000.0,0.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,17570.0,17570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,遠別町,内水,0.0,214000.0,214000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,北見市,内水,660.0,0.0,660.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,北見市,窪地内水,0.0,309600.0,309600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,岩見沢市,内水,141.0,0.0,141.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,岩見沢市,内水,141.0,0.0,141.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,岩見沢市,内水,141.0,0.0,141.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2010,北海道,岩見沢市,内水,141.0,0.0,141.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2010,北海道,士別市,内水,56810.0,0.0,56810.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2010,北海道,士別市,内水,56810.0,0.0,56810.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,士別市,内水,430.0,0.0,430.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,士別市,内水,12810.0,0.0,12810.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2010,北海道,士別市,内水,12810.0,0.0,12810.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,士別市,内水,12810.0,0.0,12810.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2010,北海道,名寄市,内水,0.0,140480.0,140480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,名寄市,内水,0.0,184610.0,184610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,名寄市,内水,0.0,555270.0,555270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,名寄市,内水,0.0,426040.0,426040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,名寄市,内水,0.0,83000.0,83000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,名寄市,内水,0.0,794030.0,794030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,名寄市,内水,0.0,891900.0,891900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,滝川市,内水,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,滝川市,内水,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,滝川市,内水,1100.0,0.0,1100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,滝川市,内水,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,滝川市,内水,660.0,0.0,660.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0
2010,北海道,滝川市,内水,440.0,0.0,440.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,滝川市,内水,110.0,0.0,110.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,滝川市,内水,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,神恵内村,内水,2973.0,0.0,2973.0,0.0,23.0,1.0,0.0,0.0,1.0,0.0,0.0
2010,北海道,上川町,内水,594.0,15.0,609.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,美瑛町,内水,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,美瑛町,内水,0.0,12000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,美瑛町,内水,0.0,27000.0,27000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,美瑛町,内水,0.0,13000.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,美瑛町,内水,0.0,18000.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,美瑛町,内水,0.0,142000.0,142000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,美瑛町,内水,0.0,19000.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,美瑛町,内水,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,美瑛町,内水,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,美瑛町,内水,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,美瑛町,内水,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,美瑛町,内水,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,美瑛町,内水,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,剣淵町,内水,0.0,210000.0,210000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,剣淵町,内水,0.0,475200.0,475200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,美深町,内水,0.0,286000.0,286000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,幌延町,内水,0.0,3800000.0,3800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,美幌町,内水,300.0,0.0,300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,日高町,内水,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,日高町,内水,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,日高町,内水,196.0,0.0,196.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,日高町,内水,90.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,日高町,内水,125.0,0.0,125.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,日高町,内水,0.0,660.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,釧路町,内水,67.0,0.0,67.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,遠別町,内水,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,遠別町,内水,0.0,120000.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,遠別町,内水,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,遠別町,内水,0.0,102000.0,102000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,音威子府村,内水,0.0,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,音威子府村,内水,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,音威子府村,内水,0.0,12000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,音威子府村,内水,0.0,66000.0,66000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,音威子府村,内水,0.0,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,音威子府村,内水,0.0,43000.0,43000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,音威子府村,内水,0.0,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,音威子府村,内水,0.0,45000.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,音威子府村,内水,0.0,12000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,音威子府村,内水,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,下川町,内水,300.0,0.0,300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,富良野市,内水,0.0,70000.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,仁木町,内水,0.0,16000.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,石狩市,内水,0.0,1690.0,1690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,当別町,内水,660.0,0.0,660.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,小樽市,内水,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,小樽市,内水,65.0,0.0,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,小樽市,内水,87.0,0.0,87.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2010,北海道,小樽市,内水,210.0,0.0,210.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,小樽市,内水,210.0,0.0,210.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,小樽市,内水,0.0,0.0,0.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,小樽市,内水,168.0,0.0,168.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,北海道,小樽市,内水,0.0,0.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
