pref,muni,records,years,first_year,last_year,area_takuchi_km2,yukaue,yukashita,kubochi_records,buildings
新潟県,魚沼市,190,5,2011,2023,0.569,174.0,763.0,7,937.0
栃木県,小山市,59,6,2011,2019,10.749,249.0,683.0,0,932.0
徳島県,小松島市,167,7,2011,2018,0.089,201.0,728.0,0,929.0
埼玉県,さいたま市桜区,128,8,2013,2023,0.785,649.0,280.0,0,929.0
秋田県,大館市,182,7,2010,2022,0.305,469.0,447.0,0,916.0
大阪府,高槻市,93,2,2012,2013,0.131,240.0,652.0,0,892.0
岡山県,岡山市中区,106,4,2010,2018,0.597,59.0,827.0,0,886.0
富山県,高岡市,145,6,2011,2023,1.448,274.0,606.0,0,880.0
埼玉県,川越市,35,6,2011,2022,0.271,326.0,550.0,1,876.0
埼玉県,川口市,198,8,2010,2023,0.115,270.0,574.0,2,844.0
愛知県,名古屋市北区,28,4,2011,2021,4.26,23.0,787.0,0,810.0
徳島県,阿南市,126,7,2011,2018,0.267,86.0,712.0,31,798.0
兵庫県,豊岡市,291,7,2011,2023,0.38,452.0,342.0,0,794.0
大分県,日田市,11,3,2012,2018,0.38,266.0,525.0,0,791.0
高知県,高知市,97,3,2010,2015,1.977,318.0,459.0,0,777.0
山口県,山口市,108,6,2010,2023,0.351,154.0,621.0,0,775.0
広島県,呉市,66,3,2010,2018,0.706,284.0,472.0,0,756.0
兵庫県,洲本市,272,8,2010,2018,0.27,76.0,678.0,0,754.0
大分県,佐伯市,165,10,2011,2022,0.787,191.0,536.0,42,727.0
石川県,小松市,60,5,2012,2022,0.126,205.0,519.0,0,724.0
岡山県,玉野市,62,4,2011,2017,5.738,371.0,353.0,0,724.0
兵庫県,加古川市,160,7,2011,2018,1.391,161.0,563.0,1,724.0
宮崎県,宮崎市,144,9,2012,2022,2.239,194.0,526.0,101,720.0
宮城県,仙台市宮城野区,31,5,2010,2019,0.207,494.0,224.0,0,718.0
